,OID,Country,CountryCode,GridCellArea,pointid,Pop,X,Y,X_deg,Y_deg,TravelHours,NTLBin,NTLArea,NightLights,Elevation,Slope,LandCover,Conflict,ElectrificationOrder,GHI,SolarRestriction,WindVel,HydropowerFID,HydropowerDist,Hydropower,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,SubstationDist,TransformerDist,RoadDist,IsUrban,Electrific,ElecTechStart,PerCapitaDemand,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,ResidentialDemandTierCustom,CommercialDemand,AgriDemand,EducationDemand,HealthDemand,HealthDemand2025,EducationDemand2025,ElecPop,ElecStart,Elec_Initial_Status_Grid2012,Elec_Init_Status_Offgrid2012,Actual_Elec_Status_2012,FinalElecCode2012,GridReachYear,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartYear,Pop2025High,Pop2025Low,Pop2012,GridDistCalibElec,MVConnectDist,Pop2025,NewConnections2025,NumPeoplePerHH,EnergyPerSettlement2025,TotalEnergyPerCell,MG_Hydro2025,MG_PV2025,MG_Wind2025,MG_Diesel2025,SA_Diesel2025,SA_PV2025,Hybrid_Cost,Hybrid_Transmission_Cost,Hybrid_NPC,Minimum_Tech_Off_grid2025,Minimum_LCOE_Off_grid2025,Off_Grid_Code2025,Elec_Initial_Status_Grid2025,Elec_Init_Status_Offgrid2025,Actual_Elec_Status_2025,Grid_extension2025,MinGridDist2025,ElectrificationOrder2025,MinimumOverall2025,MinimumOverallLCOE2025,MinimumOverallCode2025,InvestmentCost2025,ElecStatusIn2025,GridElecIn2025,OffGridElecIn2025,FinalElecCode2025,NewCapacity2025,InvestmentCostLV2025,InvestmentCostMV2025,InvestmentCostHV2025,InvestmentCostTransformer2025,InvestmentCostConnection2025,HouseHolds
5,-1,Bolivia,1,1,6,178.039393,-7171.366879000001,-2573.0515809999997,-64.42148475,-22.64794351,4,1,1,0.1083464,477,1.3506948,14,0,0,1680,1,1.63658643,396,5.7181096,1409850,142.97899999999998,112.866,0.049,0.061,117.163,0,0.14733339999999998,0,0.878,4,246.73032257,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,237.5689472,0,0,9.16137537,0.0,0,0,149.50938349999998,0.878,0,1,1,4,2012,5,1,5,5,5,4.2,1.141803222,8.58e-06,170.28403590000002,204.88102759999998,194.63697630000001,170.28403590000002,0.061,0.0,204.88102759999998,55.3716441,3.41909407774657,13661.863610024237,50550.36202822107,99.0,0.5742259263945968,99.0,0.5461027799517479,0.5057392855554792,0.5756692822472058,[0.32707622],19848.00101554273,[142732.94968905],SA_Diesel2025,0.5057392855554792,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.5057392855554792,2.0,7735.552390425257,1,0,1,2.0,6.238293885855816,6365.5883514674815,11458.059032641468,0.0,0,2024.3536314337796,59.922606088403214
9,-1,Bolivia,1,1,10,101.736796,-6994.552259,-2482.620878,-62.83313199999999,-21.8918535,3,1,1,0.1161117,297,0.30124209999999996,4,0,0,1805,1,4.66309214,394,152.15136719999998,6318050,216.396,80.444,4.776,0.124,83.977,0,0.6696313,0,0.5,3,251.25742116000004,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,195.9223583,0,0,16.0324069,39.30265596,0,0,48.65258167,0.5,0,1,1,3,2012,5,1,4,5,5,4.0,1.118071038,0.060189401,97.30516335,117.0748729,111.2211293,97.30516335,0.124,0.0,117.0748729,68.42229123000001,3.41909407774657,17191.60844430829,29415.930647488774,99.0,0.7565558016937617,99.0,0.7471743334991787,0.47892392368493625,0.4699863583920868,[0.44889304],48055.69624659179,[135699.19432575],SA_PV2025,0.4699863583920868,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.4699863583920868,3.0,53654.327370048035,1,0,1,3.0,10.582707568056811,36775.51009794241,0.0,0.0,10000,4280.186148649382,34.24148918919505
18,-1,Bolivia,1,1,19,167.139022,-7002.561398000001,-1827.237259,-62.90507932,-16.29767899,5,0,1,0.0,335,7.4220819,2,0,0,1869,1,4.34899569,530,43.342040999999995,358274,125.934,101.04799999999999,3.111,2.991,101.444,0,3.5266066,0,0.457,3,84.63645311799999,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,74.87759675,0,0,9.758856368,0.0,0,0,73.05532657,0.457,0,1,1,3,2012,5,1,4,5,5,4.0,1.118071038,0.045880332999999995,159.8584826,192.3372913,182.7204267,159.8584826,2.991,0.0,192.3372913,119.28196473,3.41909407774657,10095.602415693573,16278.746137955559,99.0,1.2315010293364699,99.0,1.225026631127249,0.5325546474260225,0.5174555346042303,[0.428219],60108.67456013529,[173987.00387146],SA_PV2025,0.5174555346042303,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.5174555346042303,3.0,34690.31684365308,1,0,1,3.0,6.001784921047245,46076.94016915137,0.0,0.0,10000,7031.734390983919,56.25387512787135
25,-1,Bolivia,1,1,26,697.623744,-6958.944236,-1823.2381679999999,-62.51325968,-16.26298092,5,1,1,0.145305,528,0.5407350000000001,14,0,0,1879,1,6.33918476,528,29.971574800000003,102342,149.99200000000002,127.10799999999999,0.057999999999999996,0.057999999999999996,127.538,0,1.6897174,0,0.7240000000000001,3,111.67146693899998,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,109.33340759999999,0,0,2.338059339,0.0,0,0,483.0784338,0.7240000000000001,0,1,1,3,2012,5,1,5,4,5,4.05,1.123631377,0.159827613,667.2354058,802.7991287000001,762.6591722999999,667.2354058,0.057999999999999996,0.0,802.7991287000001,319.72069490000007,3.41909407774657,35703.67901023946,89649.75635928006,99.0,0.8590536356169387,0.8707356841766385,0.8622338263219227,0.5325546474260227,0.6821132549875464,[0.36025792],126562.70165063831,[457418.06054098],SA_Diesel2025,0.5325546474260227,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.5325546474260227,2.0,20215.959359452576,1,0,1,2.0,16.30304977636505,90212.85376530669,0.0,0.0,10000,29349.847885331612,234.7987830826529
27,-1,Bolivia,1,1,28,119.904081,-7143.097188,-1872.2575170000002,-64.1675338,-16.68786499,30,0,1,0.0,236,0.4140143,2,0,0,1817,1,3.36662936,182,8.1811981,7260830,64.673,64.594,46.008,24.070999999999998,70.943,0,39.350666,0,0.0,0,130.6061256,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,130.6061256,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,99,2012,2,1,4,5,5,3.55,1.077364157,0.013810365,114.6810854,137.9811002,131.0820452,114.6810854,24.070999999999998,0.0,137.9811002,137.9811002,3.41909407774657,18021.176903147385,18021.176903147385,99.0,0.7652643782639509,99.0,0.787379419849496,1.2029386941895996,0.46688243087381215,[0.46181345],51646.70475619614,[162476.17439368],SA_PV2025,0.46688243087381215,3.0,0,0,0,99.0,0.0,0,SA_PV2025,0.46688243087381215,3.0,55871.92985932688,1,0,1,3.0,11.020104508742975,39602.199652561365,0.0,0.0,10000,5044.505103634773,40.35604082907818
34,-1,Bolivia,1,1,35,116.270624,-6526.889655,-2120.1353289999997,-58.63204735,-18.82134627,3,1,1,3.9052602999999997,155,1.0673021,13,0,0,1896,1,3.8091383000000003,674,22.232492399999998,701332,474.675,474.533,0.687,0.36700000000000005,474.533,0,0.1201749,0,0.625,2,134.14793053000002,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,120.11957450000001,0,0,14.02835603,0.0,0,0,69.50368809999999,0.625,0,1,1,2,2012,5,1,3,5,5,3.8,1.098049029,0.025766597999999998,111.205901,133.7998548,127.109862,111.205901,0.36700000000000005,0.0,133.7998548,64.2961667,3.41909407774657,8625.1977038169,17948.973626634488,99.0,1.2197443571099633,99.0,1.2157239221633118,0.47892392368493625,0.5100867057886638,[0.44097084],50946.61898169478,[142068.35349019],SA_Diesel2025,0.47892392368493625,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.47892392368493625,2.0,4883.71649872831,1,0,1,2.0,3.9384464400990415,39054.977666863524,0.0,0.0,10000,4891.641314831258,39.13313051865006
39,-1,Bolivia,1,1,40,261.608904,-7016.547125,-1766.535611,-63.03071524,-15.77033943,6,0,1,0.0,226,2.9828537,2,0,0,1858,1,3.46581864,505,5.0068574,176816,181.35,156.296,12.722000000000001,12.73,156.642,0,12.812206300000001,0,0.611,4,101.843014,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,101.843014,0,0,0.0,0.0,0,0,152.8803124,0.611,0,1,1,4,2012,3,1,4,5,5,3.7,1.08924436,0.016129225,250.2132772,301.0496733,285.9971896,250.2132772,12.73,0.0,301.0496733,148.1693609,3.41909407774657,15090.014296509751,30659.806092587325,99.0,0.8067627174020295,99.0,0.8086962124301535,0.5593700092965657,0.5205190496099603,[0.35981268],48016.67078788118,[201477.4500839],SA_PV2025,0.5205190496099603,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.5205190496099603,3.0,52159.0016946695,1,0,1,3.0,9.024048736101992,15214.174667686775,27385.514401836193,0.0,0,5416.981718358211,88.04954366696265
45,-1,Bolivia,1,1,46,236.174705,-6940.324789,-1937.1206539999998,-62.34599835,-17.24860807,19,0,1,0.0,265,0.803267,12,0,0,1883,0,4.88607168,207,42.9293327,4160980,62.784,62.373000000000005,1.102,1.102,62.497,0,38.5800934,0,0.831,2,172.5523301,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,172.5523301,0,0,0.0,0.0,0,0,187.7120856,0.831,0,1,1,2,2012,2,1,3,5,5,3.35,1.063706065,0.071396219,225.8869863,271.780955,258.1919073,225.8869863,1.102,0.0,271.780955,84.06886940000001,3.41909407774657,14506.279303842592,46896.43706205325,99.0,1.0660829574835395,99.0,1.0807956320142897,0.9079697136136262,0.5136082815588456,[0.42199335],70998.69168862523,[221102.26224889],SA_PV2025,0.5136082815588456,3.0,0,1,1,99.0,0.0,0,SA_PV2025,0.5136082815588456,3.0,49475.59708279352,1,0,1,3.0,8.55979188283625,54062.5452701592,0.0,0.0,10000,9936.146418466033,79.48917134772826
50,-1,Bolivia,1,1,51,178.039393,-7139.156695999999,-1914.4787019999999,-64.13213576,-17.05306081,23,0,1,0.0,251,1.7531245,2,0,0,1787,1,3.87627006,568,18.004220999999998,858453,24.995,25.211,19.787,2.98,46.246,0,3.9350848,0,0.0,0,130.6061256,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,130.6061256,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,99,2012,5,1,4,5,5,4.0,1.118071038,0.027942436,170.28403590000002,204.88102759999998,194.63697630000001,170.28403590000002,2.98,0.0,204.88102759999998,204.88102759999998,3.41909407774657,26758.717223782667,26758.717223782667,99.0,0.6858029020228319,99.0,0.6966344745088594,1.015231161095798,0.4747204123658179,[0.44105616],61925.332247848586,[193211.57697319],SA_PV2025,0.4747204123658179,3.0,0,0,0,99.0,0.0,0,SA_PV2025,0.4747204123658179,3.0,84354.09831783755,1,0,1,3.0,16.637889214563618,47435.006486798186,0.0,0.0,10000,7490.3257610504015,59.922606088403214
77,-1,Bolivia,1,1,78,287.043103,-7224.214842,-1645.296268,-64.89622608,-14.71296167,2,0,1,0.0,153,0.5020619000000001,9,0,0,1886,1,3.25051928,458,94.66698459999999,116342,16.503,13.923,0.27699999999999997,0.306,12.253,0,0.4436737,0,0.6459999999999999,3,85.05420502400001,10.65978839,60.32283355,221.183723,583.1207243,824.4120585,79.37183296,0,0,5.682372064,0.0,0,0,177.35256090000001,0.6459999999999999,0,1,1,3,2012,5,1,5,5,5,4.2,1.141803222,0.011358693000000001,274.53956800000003,330.3183915,313.80247189999994,274.53956800000003,0.306,0.0,330.3183915,152.9658306,3.41909407774657,13010.387117518856,28094.968193838904,99.0,1.2384634005487558,99.0,1.2313329415593761,0.45210856181439324,0.6795815514960764,[0.40041024],78291.8912658633,[239026.48702057],SA_Diesel2025,0.45210856181439324,2.0,0,1,1,99.0,0.0,0,SA_Diesel2025,0.45210856181439324,2.0,7366.676614560525,1,0,1,2.0,5.940816035396738,59215.65177124461,0.0,0.0,10000,12076.239494618692,96.60991595694954
